"entidad";"nombre";"con";"med";"mad";"pro";"tec";"otr";"bnk"
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LA LABOR";3;1;2;0;1;2;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL MALPASO";4;0;2;1;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL PRESA DE LOS SERNA";3;1;1;0;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL SAN TADEO";3;5;2;0;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL EL TEMAZCAL";1;0;1;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL TERRERO DE LA LABOR";1;0;1;0;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO COSIO";5;5;3;0;1;8;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL SOLEDAD DE ABAJO";2;0;2;0;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO JESUS MARIA";7;17;0;5;4;14;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL IGNACIO ZARAGOZA";3;2;0;0;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL GRACIAS A DIOS";1;1;0;0;0;1;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO JESUS GOMEZ PORTUGAL";5;1;2;0;1;3;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL TAPIAS VIEJAS";1;1;1;0;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL VALLADOLID";2;1;1;0;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO PABELLON DE ARTEAGA";6;11;0;3;4;7;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LAS ANIMAS";2;2;1;0;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO EMILIANO ZAPATA";3;2;1;0;1;2;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO RINCON DE ROMOS";5;12;4;3;6;8;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LA BOQUILLA";1;1;1;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO PABELLON DE HIDALGO";3;3;1;2;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO SAN JACINTO";3;1;1;0;0;2;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO SAN JOSE DE GRACIA";5;8;1;0;1;8;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LA CONGOJA";1;1;0;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL PAREDES";1;0;1;0;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL POTRERO DE LOS LOPEZ";1;1;1;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL SAN ANTONIO DE LOS RIOS";2;0;2;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL TUNEL DE POTRERILLO";1;1;1;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO TEPEZALA";3;5;2;0;1;6;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL EL CHAYOTE";2;2;1;0;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL MESILLAS";1;0;1;0;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO SAN ANTONIO TEPEZALA";4;4;1;0;1;2;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO PALO ALTO";5;12;3;1;4;10;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LOS CONOS";1;1;1;0;1;1;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LICENCIADO JESUS TERAN";1;1;0;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL SANTA ROSA";1;1;0;0;0;1;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LA UNION";1;0;0;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO EL BARRANCO";3;0;1;0;1;3;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO SAN FRANCISCO DE LOS ROMO";7;10;4;3;3;10;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL PUERTECITO DE LA VIRGEN";5;4;1;1;1;3;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LOS CAMPOS";2;1;1;0;1;0;0
"AGUASCALIENTES";"UNIDAD MOVIL COLONIA SANA";2;2;1;1;0;2;0
"AGUASCALIENTES";"UNIDAD MOVIL COMUNIDAD SANA";2;2;3;1;0;2;0
"AGUASCALIENTES";"UNIDAD MOVIL SALUD PARA TODOS";0;0;0;0;0;0;0
"AGUASCALIENTES";"UNIDAD MOVIL BIENESTAR EN SALUD";0;0;0;0;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO CERESO VARONES";2;0;0;0;0;0;0
"AGUASCALIENTES";"UNEME CAPASITS (CLINICA DE VIH/SIDA)";4;3;1;3;2;3;0
"AGUASCALIENTES";"CARAVANA TIPO II ECONOMICO 241";2;2;1;0;1;0;0
"AGUASCALIENTES";"CARAVANA TIPO II ECONOMICO 240";2;2;1;0;1;0;0
"AGUASCALIENTES";"CARAVANA TIPO I ECONOMICO 239";1;1;0;1;1;0;0
"AGUASCALIENTES";"UNEME DE ENFERMEDADES CRONICAS AGUASCALIENTES";6;2;1;5;0;3;0
"AGUASCALIENTES";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES AGUASCALIENTES";5;2;0;7;0;5;0
"AGUASCALIENTES";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES RINCON DE ROMOS";5;1;0;8;0;6;0
"AGUASCALIENTES";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CALVILLO";3;0;0;5;0;4;0
"AGUASCALIENTES";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES JESUS MARIA";5;1;0;7;0;3;0
"AGUASCALIENTES";"UNEME CISAME JESUS MARIA";7;1;0;5;0;5;0
"AGUASCALIENTES";"CARAVANA TIPO II ECONOMICO 259";2;2;2;0;1;0;0
"AGUASCALIENTES";"CARAVANA TIPO II ECONOMICO 260";2;2;2;0;1;0;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO GUADALUPE PERALTA";5;10;0;4;2;9;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL CARBONERAS";2;2;1;0;1;0;0
"AGUASCALIENTES";"CENTRO ESTATAL DE ATENCION PARA LABIO Y PALADAR HENDIDO ""DRA. LEONORILDA ALVAREZ NORIEGA""""""";6;5;1;10;3;9;0
"AGUASCALIENTES";"UNEME HEMODIALISIS DE AGUASCALIENTES";2;2;0;2;1;8;0
"AGUASCALIENTES";"UNEME ENFERMEDADES CRONICAS RINCON DE ROMOS";4;3;0;3;0;2;0
"AGUASCALIENTES";"CASA DEL ADOLESCENTE";5;2;2;0;0;2;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO OJOCALIENTE";4;6;2;1;2;8;0
"AGUASCALIENTES";"UNIDAD MOVIL DE CUIDADOS PALIATIVOS";1;8;2;12;0;4;0
"AGUASCALIENTES";"UNEME HEMODIALISIS DE CALVILLO";2;2;0;3;0;1;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL LOS CAÑOS";4;1;2;0;0;1;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO VILLA LICENCIADO JESUS TERAN";5;1;1;0;1;3;0
"AGUASCALIENTES";"CENTRO REGIONAL DE DESARROLLO INFANTIL Y ESTIMULACION TEMPRANA";7;0;0;10;0;0;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO HACIENDAS DE AGUASCALIENTES";6;7;1;3;3;11;0
"AGUASCALIENTES";"CENTRO DE SALUD URBANO LAS ARBOLEDAS ";12;7;3;7;17;8;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL PEÑUELAS";4;2;1;0;1;2;0
"AGUASCALIENTES";"CENTRO DE SALUD RURAL JARILLAS";4;2;1;0;0;3;0
"AGUASCALIENTES";"SERVICIO AMIGABLE ITINERANTE EDUSEX";1;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL NO. 7";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL NO. 8";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 9";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"COLONIA LOMA LINDA";2;3;1;0;0;1;0
"BAJA CALIFORNIA";"COLONIA POPULAR 2";3;2;0;1;1;2;0
"BAJA CALIFORNIA";"COLONIA POPULAR 89";7;3;4;0;0;2;0
"BAJA CALIFORNIA";"RUIZ Y 14";9;14;15;3;8;17;0
"BAJA CALIFORNIA";"FRACCIONAMIENTO MAR";4;1;1;0;0;1;0
"BAJA CALIFORNIA";"COL. JALISCO";6;3;3;1;0;1;0
"BAJA CALIFORNIA";"COL. LOMITAS INDECO";5;2;3;0;1;1;0
"BAJA CALIFORNIA";"COL. OBRERA";10;7;4;0;3;9;0
"BAJA CALIFORNIA";"BAHIA DE LOS ANGELES";2;1;2;0;0;0;0
"BAJA CALIFORNIA";"ERENDIRA";2;0;2;0;0;0;0
"BAJA CALIFORNIA";"FRANCISCO ZARCO";4;1;4;0;0;0;0
"BAJA CALIFORNIA";"ISLA DE CEDROS";3;1;0;0;0;0;0
"BAJA CALIFORNIA";"RODOLFO SANCHEZ TABOADA (MANEADERO)";9;10;14;0;2;8;0
"BAJA CALIFORNIA";"LA MISION";3;1;2;0;0;0;0
"BAJA CALIFORNIA";"REAL DEL CASTILLO";3;1;1;0;0;1;0
"BAJA CALIFORNIA";"EL ROSARIO DE ARRIBA";3;0;3;0;1;0;0
"BAJA CALIFORNIA";"RUBEN JARAMILLO";2;0;2;0;0;0;0
"BAJA CALIFORNIA";"SAN VICENTE";4;0;2;0;0;0;0
"BAJA CALIFORNIA";"COL. VICENTE GUERRERO";17;19;7;2;9;27;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 1";0;1;0;0;0;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL NO. 2";0;0;1;0;0;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL NO. 3";0;0;1;0;0;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL NO. 4";0;0;1;0;0;0;0
"BAJA CALIFORNIA";"SAN ANTONIO DE LAS MINAS";3;1;2;0;0;0;0
"BAJA CALIFORNIA";"BENITO JUAREZ";4;2;4;0;1;0;0
"BAJA CALIFORNIA";"HEROES DE LA INDEPENDENCIA";2;1;1;0;0;1;0
"BAJA CALIFORNIA";"VALLE DE LA TRINIDAD";2;1;1;0;0;0;0
"BAJA CALIFORNIA";"EMILIANO ZAPATA";5;3;2;0;1;0;0
"BAJA CALIFORNIA";"BENITO GARCIA";5;1;5;0;1;4;0
"BAJA CALIFORNIA";"COLONIA NUEVA ERA";5;2;2;0;0;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 3";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"COMPUERTAS";4;3;2;0;1;4;0
"BAJA CALIFORNIA";"GUAJARDO";4;5;1;2;0;3;0
"BAJA CALIFORNIA";"FLORES MAGON";5;4;3;1;1;4;0
"BAJA CALIFORNIA";"VICENTE GUERRERO";7;5;3;0;1;6;0
"BAJA CALIFORNIA";"HIDALGO";6;3;2;2;1;5;0
"BAJA CALIFORNIA";"LAZARO CARDENAS";4;3;2;0;1;4;0
"BAJA CALIFORNIA";"CIPRES";6;3;2;1;1;5;0
"BAJA CALIFORNIA";"RIVERA CAMPESTRE";5;4;2;0;1;4;0
"BAJA CALIFORNIA";"MEXICALI";5;5;3;0;1;4;0
"BAJA CALIFORNIA";"ORIZABA";6;6;3;1;1;3;0
"BAJA CALIFORNIA";"PRO-HOGAR";6;5;1;2;1;9;0
"BAJA CALIFORNIA";"GONZALEZ ORTEGA";13;8;5;3;4;15;0
"BAJA CALIFORNIA";"COL. INDUSTRIAL";11;15;3;2;1;17;0
"BAJA CALIFORNIA";"REACOMODO";7;2;3;0;1;8;0
"BAJA CALIFORNIA";"ALGODONES";5;0;3;0;1;3;0
"BAJA CALIFORNIA";"DELTA";2;0;1;0;0;2;0
"BAJA CALIFORNIA";"DURANGO";2;0;0;0;0;1;0
"BAJA CALIFORNIA";"GUADALUPE VICTORIA";6;14;6;1;1;18;0
"BAJA CALIFORNIA";"HERMOSILLO";4;2;3;0;1;1;0
"BAJA CALIFORNIA";"CIUDAD MORELOS";6;10;6;0;1;11;0
"BAJA CALIFORNIA";"NUEVO LEON";5;3;3;1;1;4;0
"BAJA CALIFORNIA";"TOLUCA";2;0;1;0;0;0;0
"BAJA CALIFORNIA";"PROGRESO";5;3;3;1;0;4;0
"BAJA CALIFORNIA";"PUEBLA";8;5;4;2;1;8;0
"BAJA CALIFORNIA";"QUERETARO";3;0;2;0;0;3;0
"BAJA CALIFORNIA";"SANTA ISABEL";7;5;3;3;0;8;0
"BAJA CALIFORNIA";"SONORA";2;0;1;0;0;1;0
"BAJA CALIFORNIA";"BENITO JUAREZ";3;0;2;0;0;1;0
"BAJA CALIFORNIA";"VERACRUZ DOS";2;0;1;0;0;1;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 7";0;0;0;0;1;0;0
"BAJA CALIFORNIA";"LA RUMOROSA";5;1;3;0;0;0;0
"BAJA CALIFORNIA";"VALLE DE LAS PALMAS";3;2;3;0;0;0;0
"BAJA CALIFORNIA";"LUIS ECHEVERRIA";3;0;3;0;0;0;0
"BAJA CALIFORNIA";"NUEVA COLONIA HINDU";3;3;3;0;0;3;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 2";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 3";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 4";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 5";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 1";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 10";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 11";0;0;1;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 12";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 13";0;0;0;0;1;0;0
"BAJA CALIFORNIA";"CAÑON DEL SAINZ";4;2;3;0;0;2;0
"BAJA CALIFORNIA";"LAZARO CARDENAS";3;1;4;0;1;2;0
"BAJA CALIFORNIA";"REFORMA";5;3;1;1;0;1;0
"BAJA CALIFORNIA";"INSURGENTES";5;4;2;0;2;2;0
"BAJA CALIFORNIA";"LA MESA";3;4;1;1;1;2;0
"BAJA CALIFORNIA";"HERRERA";4;5;1;0;1;3;0
"BAJA CALIFORNIA";"MIRAMAR";3;3;2;0;0;3;0
"BAJA CALIFORNIA";"CAÑON DEL PADRE";6;4;3;2;2;3;0
"BAJA CALIFORNIA";"PIPILA";4;2;3;0;1;2;0
"BAJA CALIFORNIA";"3 DE OCTUBRE";5;2;3;1;1;1;0
"BAJA CALIFORNIA";"EL NIÑO";4;3;3;1;1;1;0
"BAJA CALIFORNIA";"LOMAS TAURINAS";3;3;2;0;0;2;0
"BAJA CALIFORNIA";"SALVATIERRA (FLORES MAGON)";4;3;3;0;0;1;0
"BAJA CALIFORNIA";"MARIANO MATAMOROS";4;3;3;2;0;2;0
"BAJA CALIFORNIA";"CAMINO VERDE";4;1;3;1;0;2;0
"BAJA CALIFORNIA";"PEDREGAL DE SANTA JULIA";4;3;2;0;0;1;0
"BAJA CALIFORNIA";"SANCHEZ TABOADA";6;3;3;1;0;3;0
"BAJA CALIFORNIA";"LA PRESA";4;3;3;2;2;3;0
"BAJA CALIFORNIA";"FLORIDO (MORITA)";6;3;4;3;1;3;0
"BAJA CALIFORNIA";"VALLE VERDE";4;2;4;0;2;3;0
"BAJA CALIFORNIA";"LA JOYA";4;3;2;0;1;1;0
"BAJA CALIFORNIA";"COL. RUBI";6;5;2;0;2;3;0
"BAJA CALIFORNIA";"FRANCISCO VILLA";7;5;4;0;2;8;0
"BAJA CALIFORNIA";"EJIDO OJO DE AGUA";5;2;3;0;1;2;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 9";0;0;0;0;1;0;0
"BAJA CALIFORNIA";"PLAN LIBERTADOR";5;3;3;0;0;3;0
"BAJA CALIFORNIA";"PRIMO TAPIA";4;3;2;0;1;2;0
"BAJA CALIFORNIA";"UNIDAD MOVIL NO. 1";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL NO. 2";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 5";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 8";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 14";0;0;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 15";0;1;0;0;0;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 16";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 17";0;0;1;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 18";0;1;0;0;0;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 20";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 21";0;0;1;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 22";0;1;0;0;0;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 23";0;1;0;0;0;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 24";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 19";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"MACLOVIO ROJAS";2;2;2;0;1;0;0
"BAJA CALIFORNIA";"VALLE DE GUADALUPE";2;0;2;0;0;1;0
"BAJA CALIFORNIA";"CLINICA DE ESPECIALIDADES DENTALES EL FLORIDO";5;1;13;0;0;2;0
"BAJA CALIFORNIA";"FORTALECIMIENTO A LA ATENCION MEDICA NO. 06";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"CENTRO DE SALUD CAMALU";3;2;3;0;0;1;0
"BAJA CALIFORNIA";"CENTRO REGIONAL DE DESARROLLO INFANTIL Y ESTIMULACION TEMPRANA MOVIL";1;1;0;5;2;0;0
"BAJA CALIFORNIA";"CARAVANA DE LA SALUD NO.4";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 32";0;0;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL  33";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD MOVIL 34";0;1;0;0;0;0;0
"BAJA CALIFORNIA";"SERVICIO AMIGABLE ITINERANTE EDUSEX";1;1;0;0;0;0;0
"BAJA CALIFORNIA";"GOMEZ MORIN";1;1;1;0;0;1;0
"BAJA CALIFORNIA";"EL SAUZAL";3;3;2;0;1;1;0
"BAJA CALIFORNIA";"SANCHEZ TABOADA REACOMODO";4;3;3;0;0;2;0
"BAJA CALIFORNIA";"PORTICOS DEL MAR";6;4;2;0;1;1;0
"BAJA CALIFORNIA";"ESTEBAN CANTU";4;0;2;0;0;0;0
"BAJA CALIFORNIA";"CAPASITS";5;3;0;2;0;1;0
"BAJA CALIFORNIA";"NAYARIT";3;1;1;0;0;1;0
"BAJA CALIFORNIA";"CAPASITS";4;4;1;2;0;4;0
"BAJA CALIFORNIA";"LA PROVIDENCIA";3;2;3;0;1;0;0
"BAJA CALIFORNIA";"FLORES MAGON";4;1;3;0;0;0;0
"BAJA CALIFORNIA";"LOS SANTORALES";3;1;3;0;1;3;0
"BAJA CALIFORNIA";"EX EJIDO CHAPULTEPEC";7;3;3;1;1;2;0
"BAJA CALIFORNIA";"CAPASITS FLORIDO MORITA";4;4;0;1;2;2;0
"BAJA CALIFORNIA";"TERRAZAS DEL VALLE";4;4;3;0;0;1;0
"BAJA CALIFORNIA";"CARAVANA NO. 26";1;1;0;0;1;0;0
"BAJA CALIFORNIA";"CARAVANA NO. 25";2;1;0;0;0;0;0
"BAJA CALIFORNIA";"CARAVANA NO. 9";2;2;2;0;1;0;0
"BAJA CALIFORNIA";"CARAVANA NO. 7";1;1;1;0;1;0;0
"BAJA CALIFORNIA";"UNIDAD DE ESPECIALIDADES MEDICAS DE BC ENSENADA (UNEME - CIRUGIA AMBULATORIA)";0;2;0;0;0;8;0
"BAJA CALIFORNIA";"CARAVANA DE LA SALUD NO. 5";2;2;0;0;0;0;0
"BAJA CALIFORNIA";"CARAVANA DE LA SALUD NO.30";1;1;0;0;1;0;0
"BAJA CALIFORNIA";"CENTRO DE SALUD EJIDO PATZCUARO";2;0;1;0;0;2;0
"BAJA CALIFORNIA";"CARAVANA DE LA SALUD NO.10";0;1;0;0;0;0;0
"BAJA CALIFORNIA";"CUMBRES";4;2;3;0;0;2;0
"BAJA CALIFORNIA";"CARAVANA DE LA SALUD NO.11";0;1;0;0;1;0;0
"BAJA CALIFORNIA";"UNEME ENFERMEDADES CRONICAS";6;1;0;1;0;1;0
"BAJA CALIFORNIA";"UNIDAD DE ESPECIALIDADES MEDICAS (SORID) EX EJIDO RUIZ CORTINES";3;1;0;2;1;1;0
"BAJA CALIFORNIA";"EX EJIDO RUIZ CORTINES";3;2;2;1;0;1;0
"BAJA CALIFORNIA";"CENTRO DE SALUD TECATE";7;5;5;1;2;15;0
"BAJA CALIFORNIA";"CARAVANA DE SALUD 31";0;0;1;0;1;0;0
"BAJA CALIFORNIA";"CIUDAD COAHUILA KM 57";6;2;4;0;1;10;0
"BAJA CALIFORNIA";"CENTRO REGIONAL DE DESARROLLO INFANTIL Y DE ESTIMULACION TEMPRANA";4;2;0;6;1;1;0
"BAJA CALIFORNIA";"UNEME DE ONCOLOGIA";8;11;0;10;11;28;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SANTORALES";3;0;0;7;0;1;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES ORIZABA";2;0;0;3;0;0;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES GONZALEZ ORTEGA";2;0;0;4;0;0;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CIPRES";3;0;0;7;0;1;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES LOMAS VERDES";2;0;0;3;0;1;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES DURANGO LA MESA";6;0;0;6;0;1;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES VALLE VERDE";2;0;0;1;0;1;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES ROSARITO CHULA VISTA";2;0;0;4;0;1;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SAUZAL";2;0;0;3;0;1;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES MANEADERO";2;0;0;1;0;2;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CHAPULTEPEC";2;0;0;4;0;3;0
"BAJA CALIFORNIA";"CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES VICENTE GUERRERO";2;0;0;3;0;2;0
"BAJA CALIFORNIA";"TIJUANA";29;21;10;6;7;12;0
"BAJA CALIFORNIA";"CARAVANA DE SALUD NO. 5";1;1;1;0;1;0;0
"BAJA CALIFORNIA";"CENTRO DE SALUD URBANO PLAYAS DE ROSARITO";6;6;5;0;0;6;0
